Word	Concepticon_ID	Concepticon_Gloss	POS	Similarity
bother	2869	BOTHER (HARASS)	verb	19
noon	12	MIDDAY	noun	19
sunday	1699	SUNDAY	noun	19
quick	1631	FAST	adjective	19
dress	474	DRESS	noun	19
wrong	1390	WRONG	adjective	19
wake	3174	WAKE UP (SOMEONE)	verb	19
cigarette	969	CIGARETTE	noun	19
bottom	690	BOTTOM	noun	19
liver	1224	LIVER	noun	19
cat	1208	CAT	noun	19
pity	1141	PITY	noun	19
spoil	92	SPOIL (SOMEBODY OR SOMETHING)	verb	19
sand	671	SAND	noun	19
fault	134	FAULT	noun	19
leg	1297	LEG	noun	19
death	910	DEATH	noun	19
coat	603	COAT	noun	19
brick	1006	BRICK	noun	19
rough	1923	ROUGH	adjective	19
mortar	224	MORTAR	noun	19
squeeze	1414	SQUEEZE	verb	19
flow	2003	FLOW	verb	19
obscure	1764	OBSCURE	adjective	19
thick	1244	THICK	adjective	19
shadow	1388	SHADE	noun	19
fine	218	FINE (PENALTY)	noun	19
repair	2243	REPAIR	verb	19
mix	2017	MIX	verb	19
tone	2995	TONE (MUSIC)	noun	19
jump	1829	JUMP	verb	19
