('1210', '1267', 0.9760743379592896)
('1210', '1218', 0.9828214049339294)
('1210', '2253', 0.976948082447052)
('1210', '1647', 0.9782369136810303)
('1210', '281', 0.97560715675354)
('1210', '640', 0.9760519862174988)
('1210', '1870', 0.9735347032546997)
('1210', '1183', 0.982257068157196)
('1210', '2007', 0.978569507598877)
('1210', '964', 0.971580982208252)
('1210', '342', 0.9768806099891663)
('1210', '1316', 0.9717753529548645)
('1847', '1289', 0.9847143292427063)
('2001', '2030', 0.9748820066452026)
('2001', '980', 0.9707217812538147)
('1467', '27', 0.9816622734069824)
('1467', '603', 0.9714889526367188)
('2134', '1917', 0.9770739674568176)
('2134', '1171', 0.9722903370857239)
('2134', '855', 0.9764775633811951)
('2134', '1088', 0.9723219275474548)
('712', '983', 0.9775276780128479)
('712', '211', 0.9715349674224854)
('712', '598', 0.9705270528793335)
('1393', '138', 0.9729502201080322)
('1393', '1845', 0.9735698699951172)
('1393', '857', 0.9820767641067505)
('1393', '1398', 0.970695436000824)
('1393', '1481', 0.9751688241958618)
('1393', '746', 0.9704040884971619)
('1393', '1150', 0.970862627029419)
('1393', '1787', 0.9730710387229919)
('1393', '586', 0.9729838967323303)
('1393', '1388', 0.9785984754562378)
('1393', '1726', 0.9716455936431885)
('1393', '249', 0.9773831963539124)
('1393', '2998', 0.9703908562660217)
('1393', '629', 0.971958577632904)
('1393', '1188', 0.9736589193344116)
('1393', '1470', 0.9740917682647705)
('1393', '1394', 0.9822315573692322)
('1393', '153', 0.9754013419151306)
('1393', '1201', 0.9780706763267517)
('1393', '186', 0.9772193431854248)
('1393', '1343', 0.976220428943634)
('1393', '365', 0.9700872898101807)
('1393', '1220', 0.974900484085083)
('1393', '1793', 0.9792507290840149)
('1393', '911', 0.9700475335121155)
('1393', '476', 0.9802544116973877)
('1393', '763', 0.9761747121810913)
('1393', '1462', 0.9814019799232483)
('1393', '1647', 0.9788601994514465)
('1393', '183', 0.9704141616821289)
('1393', '1600', 0.9831191301345825)
('1393', '2876', 0.9705020785331726)
('1393', '1148', 0.9706190824508667)
('1393', '640', 0.9745118618011475)
('1393', '378', 0.9710286259651184)
('1393', '1005', 0.9735193848609924)
('1393', '44', 0.985786497592926)
('1393', '1316', 0.9859071969985962)
('1644', '1364', 0.9716384410858154)
('1644', '1558', 0.9721288084983826)
('1679', '2466', 0.9743227362632751)
('1679', '1361', 0.9752429723739624)
('1679', '1913', 0.9734941124916077)
('1679', '1627', 0.9703773856163025)
('1679', '1531', 0.9756782054901123)
('1679', '1243', 0.9713611602783203)
('1679', '752', 0.9729225635528564)
('1679', '612', 0.9809059500694275)
('1679', '1530', 0.9726759195327759)
('1679', '862', 0.9704667925834656)
('38', '1913', 0.970849871635437)
('38', '1069', 0.9700420498847961)
('38', '113', 0.9740101099014282)
('761', '1453', 0.9787864685058594)
('761', '705', 0.9756817817687988)
('761', '113', 0.9793130159378052)
('1506', '633', 0.9752045273780823)
('1506', '2981', 0.9705554842948914)
('1370', '1469', 0.9737260937690735)
('59', '1361', 0.9755394458770752)
('59', '1484', 0.9812413454055786)
('59', '1627', 0.9723346829414368)
('59', '1274', 0.9732443690299988)
('59', '620', 0.9849929213523865)
('59', '1959', 0.9770483374595642)
('59', '917', 0.9730826616287231)
('59', '1064', 0.973319947719574)
('59', '289', 0.9758026599884033)
('59', '952', 0.9713274240493774)
('1095', '701', 0.9802843332290649)
('1364', '1558', 0.9756274819374084)
('1364', '1372', 0.9741998910903931)
('1281', '713', 0.9746798872947693)
('1281', '1435', 0.9789878129959106)
('1281', '227', 0.9770617485046387)
('1281', '1531', 0.9761536121368408)
('1281', '228', 0.972842812538147)
('1281', '1369', 0.9736905097961426)
('1281', '292', 0.9704151153564453)
('1281', '628', 0.9703202843666077)
('1281', '1033', 0.971325695514679)
('1281', '167', 0.9736382961273193)
('1281', '926', 0.9704561829566956)
('1281', '2334', 0.975367546081543)
('1281', '1530', 0.9713187217712402)
('1281', '1683', 0.9788620471954346)
('1281', '1693', 0.9785036444664001)
('1281', '395', 0.975216269493103)
('1134', '258', 0.9713563323020935)
('1757', '1518', 0.9704912304878235)
('1100', '481', 0.9709226489067078)
('1100', '1403', 0.9827278256416321)
('1100', '323', 0.9707189798355103)
('1100', '1631', 0.9735819697380066)
('1100', '1895', 0.9769307374954224)
('1100', '2149', 0.9790447950363159)
('1100', '1205', 0.9703899025917053)
('1100', '717', 0.9738578200340271)
('1100', '679', 0.9748316407203674)
('1100', '1643', 0.9737097024917603)
('1100', '1668', 0.9714995622634888)
('1100', '239', 0.9834654927253723)
('1100', '1318', 0.9846202731132507)
('1100', '1470', 0.9701393842697144)
('1100', '1220', 0.9784688353538513)
('1100', '1407', 0.972033679485321)
('1100', '1261', 0.9873926043510437)
('1100', '1973', 0.9749669432640076)
('1100', '8', 0.9711860418319702)
('1100', '1021', 0.9738882184028625)
('1100', '44', 0.9740747213363647)
