Word	Concepticon_ID	Concepticon_Gloss	POS	Similarity
lock	1596	LOCK	noun	19
slowly	2165	SLOWLY	other	19
dull	379	BLUNT	adjective	19
move	765	MOVE	verb	19
inside	1606	INSIDE	other	19
big	1202	BIG	adjective	19
fool	1438	FOOL	noun	19
brush	1821	BRUSH	noun	19
start	3447	BEGIN OR START	verb	19
handle	1254	HANDLE	noun	19
slack	2506	LOOSE	adjective	19
arm	1673	ARM	noun	19
short	1645	SHORT	adjective	19
stop	2880	HALT (STOP)	verb	19
swollen	1573	SWELL	verb	19
nose	1221	NOSE	noun	19
blood	946	BLOOD	noun	19
hesitate	3629	HESITATE	verb	19
dance	1879	DANCE	verb	19
forward	2912	FORWARD	other	19
beside	1816	BESIDE	other	19
slab	2952	SLAB	noun	19
door	1567	DOOR	noun	19
kick	1135	KICK	verb	19
gut	1334	GUTS	noun	19
silver	759	SILVER	noun	19
downward	1326	DOWN	other	19
left	244	LEFT	adjective	19
forearm	446	LOWER ARM	noun	19
blade	869	BLADE	noun	19
slide	1324	SLIP	verb	19
sleeve	2953	SLEEVE	noun	19
fist	1473	FIST	noun	19
belly	1251	BELLY	noun	19
duck	1360	DUCK	noun	19
fell	355	CUT DOWN	verb	19
land	626	LAND	noun	19
wood	1803	WOOD	noun	19
breath	870	BREATH	noun	19
jacket	2770	JACKET	noun	19
sting	571	STING	verb	19
rib	801	RIB	noun	19
crouch	296	CROUCH	verb	19
ready	790	READY	adjective	19
hit	1433	HIT	verb	19
backward	2911	BACKWARD	other	19
arch	876	ARCH	noun	19
stumble	3617	STUMBLE	verb	19
post	3126	POST (SOMETHING)	verb	19
solid	3003	SOLID	adjective	19
across	2670	ACROSS	other	19
roll	827	ROLL	verb	19
lean	2219	LEAN (MEAT)	adjective	19
pant	3614	PANT	verb	19
pulse	3267	PULSE	noun	19
dead	1625	DEAD	adjective	19
soon	703	SOON	other	19
cold	1287	COLD	adjective	19
ten	1515	TEN	numeral	19
hire	3213	HIRE OR RENT	verb	19
till	1882	BEFORE	other	19
climb	1102	CLIMB	verb	19
rag	332	RAG	noun	19
